"","KLCODE","DATE","source","REGIO","SUBREGIO","AGE","SEX","PM","MASS","BILL","WING","TOTHD","TARS","TATO","MONTH","jdate","SS"
"20","L1YLBY",2012-08-18,"RIN","WW","rich",3,"m","j",252,72.2,218,110,48.8,83,8,231,"Lap"
"22","Y2YWRY",2003-07-30,"RIN","WW","rich",3,"m","n",238,83.2,212,999,999,89,7,211,"Lap"
"28","Y2YYWW",2003-07-29,"RIN","WW","rich",2,"f","j",340,103.4,214,999,999,93,7,210,"Lap"
"30","Y2YYBW",2003-07-30,"RIN","WW","rich",3,"f","j",324,93.5,225,999,999,98,7,211,"Lap"
"32","R1BYYR",2006-07-28,"RIN","WW","rich",3,"m","j",283,82.8,215,999,55.2,92,7,209,"Lap"
"34","R3BWYR",2010-08-13,"RIN","WW","rich",3,"f","0",352,105,234,144,59.8,96,8,225,"Lap"
"38","R3BWWB",2010-09-12,"RIN","WW","rich",3,"m","n",331,83.6,222,123.5,58.2,95,9,255,"Lap"
"41","Y3YRWB",2003-07-31,"RIN","WW","rich",2,"m","j",330,81.8,212,999,999,90,7,212,"Lap"
"43","Y1YWYY",2001-07-26,"RIN","WW","rich",2,"f","j",329,98,215,999,53.3,93,7,207,"Lap"
"44","Y1YYBR",2001-07-25,"RIN","WW","rich",3,"m","j",297,77,216,113,54.9,90,7,206,"Lap"
"45","Y1YYBW",2001-07-24,"RIN","WW","rich",3,"m","n",249,78,218,115,52.1,94,7,205,"Lap"
"46","Y2RYRB",2003-03-03,"RIN","WW","rich",2,"f","n",340,98,220,137,57.3,93,3,62,"Lap"
"53","Y3YRWR",2003-07-31,"RIN","WW","rich",3,"f","j",357,111.7,233,999,999,102,7,212,"Lap"
"54","Y1YWWW",2001-07-28,"RIN","WW","rich",3,"f","j",315,102.5,213,999,59.5,98,7,209,"Lap"
"55","Y3YRRY",2003-08-30,"RIN","WW","rich",3,"m","j",275,84.2,223,119,53.7,91,8,242,"Lap"
"57","Y3YRRR",2003-08-02,"RIN","WW","rich",3,"f","n",329,108.4,232,999,999,97,8,214,"Lap"
"66","Y2YYRR",2003-07-30,"RIN","WW","rich",3,"m","j",289,76.2,223,999,999,85,7,211,"Lap"
"68","L4LYRB",2011-08-01,"RIN","WW","rich",3,"m","n",213,77.7,212,116.2,49.6,83,8,213,"Lap"
"69","L4LYRL",2011-08-01,"RIN","WW","rich",3,"m","j",291,81.1,223,119.3,52.4,89,8,213,"Lap"
"73","Y2YYWY",2003-07-30,"RIN","WW","rich",3,"f","j",341,99.4,232,999,999,93,7,211,"Lap"
"75","Y2YYWR",2003-07-29,"RIN","WW","rich",2,"m","j",284,76.6,999,999,999,92,7,210,"Lap"
"77","Y1YWYR",2001-07-28,"RIN","WW","rich",3,"f","n",325,98.3,219,999,56.2,95,7,209,"Lap"
"78","Y2YYRW",2003-07-30,"RIN","WW","rich",3,"f","n",320,92.1,225,999,999,89,7,211,"Lap"
"81","Y2YYBY",2003-07-30,"RIN","WW","rich",3,"f","j",339,113.8,238,999,999,94,7,211,"Lap"
"83","Y3YWBR",2003-07-31,"RIN","WW","rich",3,"m","n",281,71.2,213,999,999,82,7,212,"Lap"
"91","Y2YYRY",2003-07-30,"RIN","WW","rich",3,"m","j",291,80.9,212,999,999,86,7,211,"Lap"
"97","R4BWRW",2010-08-11,"RIN","WW","rich",2,"m","j",286,76.9,999,117,52.2,88,8,223,"Lap"
"109","R1BYWB",2006-07-31,"RIN","WW","rich",3,"f","j",999,100.1,227,999,58.9,98,7,212,"Lap"
"112","R1BYWW",2006-07-30,"RIN","WW","rich",2,"m","j",999,77.4,202,999,51,86,7,211,"Lap"
"127","Y7WWYW",2005-10-02,"RIN","WW","rich",3,"m","j",269,79,212,114,49.6,84,10,275,"Lap"
"128","Y7WWYY",2005-10-01,"RIN","WW","rich",3,"f","j",304,98.5,230,138,58,94,10,274,"Lap"
"130","Y5WRWB",2004-08-18,"RIN","WW","rich",3,"f","j",320,105.1,233,144,59.5,96,8,231,"Lap"
"131","Y7YYYW",2004-10-13,"RIN","WW","rich",3,"f","j",327,101.2,999,140,57.3,97,10,287,"Lap"
"134","Y6YRWW",2007-10-13,"RIN","WW","rich",3,"f","n",353,104.9,221,143,54.2,93,10,286,"Lap"
"135","Y6YRYB",2007-10-10,"RIN","WW","rich",3,"f","j",313,101.3,999,139,57.3,94,10,283,"Lap"
"137","Y5WRWW",2004-08-18,"RIN","WW","rich",3,"m","j",299,83.2,222,122,53.3,89,8,231,"Lap"
"142","Y6YYYW",2006-10-23,"RIN","WW","rich",3,"f","j",359,95.3,999,135.5,59.2,94,10,296,"Lap"
"147","L4BRBR",2013-08-14,"RIN","WW","rich",3,"f","j",360,95.1,227,136,57.9,98,8,226,"Lap"
"148","Y7WWYB",2005-10-03,"RIN","WW","rich",3,"m","n",263,78.8,214,116,51.9,86,10,276,"Lap"
"149","L4BRBY",2013-08-09,"RIN","WW","rich",3,"f","j",303,94.9,219,134,51.8,89,8,221,"Lap"
"154","Y5BRBW",2011-09-02,"RIN","WW","rich",3,"f","j",350,105.1,219,145,60.1,99,9,245,"Lap"
"158","Y5BRRB",2011-09-26,"RIN","WW","rich",3,"m","j",292,79,218,117,53,88,9,269,"Lap"
"160","Y7WWWW",2005-10-03,"RIN","WW","rich",3,"f","n",331,90.3,227,128,57,94,10,276,"Lap"
"164","Y2RYRY",2003-03-31,"RIN","WW","grie",3,"f","n",333,105.7,232,145,59.4,98,3,90,"Lap"
"165","Y1RBWB",2002-03-12,"RIN","WW","grie",3,"f","n",290,97.6,220,133,52.3,88,3,71,"Lap"
"166","Y1RBRR",2002-03-12,"RIN","WW","grie",3,"f","n",322,96.8,232,136,57.5,97,3,71,"Lap"
"167","R4WWYB",2008-02-08,"RIN","WW","grie",3,"m","n",240,80.1,220,118,51.8,88,2,39,"Lap"
"168","R1BRWY",2008-08-29,"RIN","WW","grie",3,"m","j",256,72.7,211,109,50.1,86,8,242,"Lap"
"169","Y2RYBB",2003-03-31,"RIN","WW","grie",3,"m","n",282,78.6,215,115,50.9,86,3,90,"Lap"
"171","Y1RBWY",2002-03-12,"RIN","WW","grie",3,"f","n",326,102.2,219,141,54.1,92,3,71,"Lap"
"172","Y2RYRW",2003-03-31,"RIN","WW","grie",3,"f","n",340,102.2,232,141,54.7,91,3,90,"Lap"
"173","R4WWYR",2008-02-08,"RIN","WW","grie",3,"m","n",261,80.8,213,119.4,51.6,89,2,39,"Lap"
"174","Y1YWRY",2002-03-12,"RIN","WW","grie",3,"m","n",285,78.2,224,117,54.6,93,3,71,"Lap"
"175","Y1YWRW",2002-03-12,"RIN","WW","grie",3,"f","n",320,96.5,221,135,57.5,97,3,71,"Lap"
"176","Y1YWRB",2002-03-12,"RIN","WW","grie",3,"m","n",279,82.5,214,119,54.3,89,3,71,"Lap"
"177","Y1YWBY",2002-03-12,"RIN","WW","grie",3,"f","n",336,96.7,218,134,57.6,95,3,71,"Lap"
"178","Y1YWBB",2002-03-12,"RIN","WW","grie",3,"f","n",330,107.2,229,145,57.1,93,3,71,"Lap"
"179","L2LLLR",2013-03-12,"RIN","WW","grie",3,"o","n",275,83.3,220,122.2,53.7,89,3,71,"Lap"
"180","L2LLLL",2013-03-12,"RIN","WW","grie",3,"f","n",289,93.8,226,132.9,51.9,88,3,71,"Lap"
"181","Y2RYBY",2003-03-31,"RIN","WW","grie",3,"m","n",291,81.2,220,118,50.2,86,3,90,"Lap"
"182","R1BRRR",2008-08-31,"RIN","WW","grie",3,"f","j",335,101.8,226,137,54.9,93,8,244,"Lap"
"183","R1BRBB",2008-09-27,"RIN","WW","grie",3,"m","j",246,83.7,999,119,51.8,88,9,271,"Lap"
"187","R1BRRB",2008-08-31,"RIN","WW","grie",3,"m","j",252,78.6,208,117,49.9,82,8,244,"Lap"
