Area;Period;Year;Autumn;Spring
NW;1;1961;3;0
NW;1;1962;1;4
NW;1;1963;1;1
NW;1;1964;0;2
NW;1;1965;0;2
NW;1;1966;2;3
NW;1;1967;1;1
NW;1;1968;3;0
NW;2;1999;4;0
NW;2;2000;0;0
NW;2;2001;0;0
NW;2;2002;3;1
NW;2;2003;0;7
NW;2;2004;0;6
NW;2;2005;2;10
NW;2;2008;5;5
C;1;1961;1;18
C;1;1962;0;34
C;1;1963;0;5
C;1;1964;4;9
C;1;1965;0;14
C;1;1966;0;11
C;1;1967;0;13
C;1;1968;0;9
C;2;1999;0;4
C;2;2000;1;14
C;2;2001;0;10
C;2;2002;0;17
C;2;2003;0;18
C;2;2004;0;23
C;2;2005;0;26
C;2;2008;0;19
E;1;1961;0;3
E;1;1962;0;11
E;1;1963;2;1
E;1;1964;0;5
E;1;1965;1;2
E;1;1966;0;3
E;1;1967;0;1
E;1;1968;0;2
E;2;1999;0;4
E;2;2000;0;5
E;2;2001;0;8
E;2;2002;0;10
E;2;2003;0;4
E;2;2004;0;9
E;2;2005;0;7
E;2;2008;1;14
